#   B/C  AMS02(2011/05-2016/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.405123e+01 6.160000e+01 6.660000e+01 1.101000e-01 3.400000e-03 3.400000e-03 3.600000e-03 3.600000e-03 4.951767e-03 4.951767e-03
6.953531e+01 6.660000e+01 7.260000e+01 1.049000e-01 3.400000e-03 3.400000e-03 3.500000e-03 3.500000e-03 4.879549e-03 4.879549e-03
7.578034e+01 7.260000e+01 7.910000e+01 1.031000e-01 3.600000e-03 3.600000e-03 3.500000e-03 3.500000e-03 5.020956e-03 5.020956e-03
8.276509e+01 7.910000e+01 8.660000e+01 9.660000e-02 3.700000e-03 3.700000e-03 3.400000e-03 3.400000e-03 5.024938e-03 5.024938e-03
9.075054e+01 8.660000e+01 9.510000e+01 1.008000e-01 3.900000e-03 3.900000e-03 3.700000e-03 3.700000e-03 5.375872e-03 5.375872e-03
9.973695e+01 9.510000e+01 1.046000e+02 9.780000e-02 4.200000e-03 4.200000e-03 3.700000e-03 3.700000e-03 5.597321e-03 5.597321e-03
1.099625e+02 1.046000e+02 1.156000e+02 8.830000e-02 4.200000e-03 4.200000e-03 3.500000e-03 3.500000e-03 5.467175e-03 5.467175e-03
1.219269e+02 1.156000e+02 1.286000e+02 8.340000e-02 4.300000e-03 4.300000e-03 3.400000e-03 3.400000e-03 5.481788e-03 5.481788e-03
1.363655e+02 1.286000e+02 1.446000e+02 8.230000e-02 4.400000e-03 4.400000e-03 3.500000e-03 3.500000e-03 5.622277e-03 5.622277e-03
1.540417e+02 1.446000e+02 1.641000e+02 8.380000e-02 4.800000e-03 4.800000e-03 3.700000e-03 3.700000e-03 6.060528e-03 6.060528e-03
1.759240e+02 1.641000e+02 1.886000e+02 8.140000e-02 5.000000e-03 5.000000e-03 3.800000e-03 3.800000e-03 6.280127e-03 6.280127e-03
2.035106e+02 1.886000e+02 2.196000e+02 8.090000e-02 5.400000e-03 5.400000e-03 4.000000e-03 4.000000e-03 6.720119e-03 6.720119e-03
2.396818e+02 2.196000e+02 2.616000e+02 7.850000e-02 5.800000e-03 5.800000e-03 4.100000e-03 4.100000e-03 7.102816e-03 7.102816e-03
2.934153e+02 2.616000e+02 3.291000e+02 7.080000e-02 5.500000e-03 5.500000e-03 3.900000e-03 3.900000e-03 6.742403e-03 6.742403e-03
3.801418e+02 3.291000e+02 4.391000e+02 5.710000e-02 5.300000e-03 5.300000e-03 3.500000e-03 3.500000e-03 6.351378e-03 6.351378e-03
5.338725e+02 4.391000e+02 6.491000e+02 4.690000e-02 1.200000e-02 1.200000e-02 3.000000e-03 3.000000e-03 1.236932e-02 1.236932e-02
9.182842e+02 6.491000e+02 1.299100e+03 4.750000e-02 1.420000e-02 1.420000e-02 3.600000e-03 3.600000e-03 1.464923e-02 1.464923e-02
